marker,occur,impf,impv,infa,infc,perf,ptca,ptcp,wayq,weqt
B JWM G>WNJK,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM CMWNH L  XDC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM CCH <FR L  XDC H R>CWN,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM >XR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B JWM >XD L  XDC H CBJ<J,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B JWM >XD L  XDC H <FJRJ,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B JWM >WR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B JWM >PK,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM >P JHWH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM >JDK,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM <NN W <RPL,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM <FRJM W CLCH L  XDC H CBJ<J,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM <FRJM W >RB<H L <CTJ <FR XDC B CNT CTJM L DRJWC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM <FRJM W >RB<H L  XDC H ZH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM <BRH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JRX H >TNJM B  XG,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B JMJM QDMWNJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJM >XDJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JMJHM B JMJ QDM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ ZRBBL W B JMJ NXMJH,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
B JMJ ZKRJHW,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B JMJ XZQJHW MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ XRPJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ R<BWN,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JMJ R<,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JMJ QYJR XVJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B JMJ QYJR B  R>CNJM  TXLT QYJR F<RJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ PQX MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ JXZQJHW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ JWTM MLK JHWDH W B JMJ JRB<M MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ JWTM >XZ JXZQJH MLKJ JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ JWJQJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ J>CJHW H MLK,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B JMJ J>CJHW BN >MWN MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ HBLJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ BXWRTJK,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JMJ BNW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JMJ >XZ BN JWTM BN <ZJHW MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B JMJ >XCWRWC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B JMJ >S> >BJW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ >RTXCFT>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ >MRPL MLK CN<R >RJWK MLK >LSR KDRL<MR MLK <JLM W TD<L MLK GWJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B JMJ >LJCJB JWJD< W JWXNN W JDW<,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
B JMJ >BJHW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ <ZJHW JWTM >XZ JXZQJHW MLKJ JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ <ZJH MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B JMJ <ZJH JWTM >XZ JXZQJH MLKJ JHWDH W B JMJ JRB<M BN JW>C MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B HR YJWN W B JRWCLM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B FJBH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B DWR >XR,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B DR W DR,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B DMJ JMJ,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B CTJM <FRH CNH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT XMC L JWRM BN >X>B MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT MWT H MLK >XZ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT MLKTW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT H TCJ<JT L HWC<,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT H TCJ<JT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT H RBJ<JT L JHWJQJM BN J>CJHW MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT H RB<JT,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B CNT H JWBL H Z>T,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B CNT H JWBL,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B CNT H >RB<JM L MLKWT DWJD,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT H >RB<JM B  XDC H XMJCJ B >XD L  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT CTJM L PQX BN RMLJHW MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CTJM L MLKWT NBKDNYR,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CTJM L JW>C BN JW>XZ MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CTJM L JHWRM BN JHWCPV MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT CTJM L DRJWC H MLK B  XDC H CCJ B JWM >XD L  XDC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CTJM L >S> MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CTJM <FRH CNH L JWRM BN >X>B MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CMWNH <FRH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CMNH <FRH L JHWCPV MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CMNH <FRH L  MLK JRB<M BN NBV,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CMNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT CLWCJM W TC< L MLKWTW,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT CLWC L MLKWT JHWJQJM MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CLWC L MLKWT BL>CYR H MLK,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CLWC L KWRC MLK PRS,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CLWC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CLCJM W TC< CNH L <ZJH MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CLCJM W CTJM L >RTXCST> MLK BBL,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CLCJM W CMNH CNH L >S> MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CLCJM W CC L MLKWT >S>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CLC W <FRJM L NBWKDR>YR,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CLC L HWC< BN >LH MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT CLC L >S> MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT CC L XZQJH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CB< L JHW>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CB< L >RTXCST> H MLK,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT CB< <FRH L JHWCPV MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CB< <FRH CNH L PQX BN RMLJHW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT CB<,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT BYRT,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B CNT >XT <FRH CNH L JWRM BN >X>B,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT >XT,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT >RB<JM W >XT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT >RB< L DRJWC H MLK,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT >RB< L >X>B MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT <FRJM W CLC CNH L  MLK JHW>C,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT <FRJM W CB< L >S> MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT <FRJM W CB< CNH L JRB<M MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNT <FRJM L JWTM BN <ZJH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CNT <FRJM L JRB<M MLK JFR>L,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CNJM <FR L  XDC H R>CWN,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CMWNH CNJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CMWNH <FRH CNH L MLKWT J>CJHW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CLCJM W CB< CNH L GLWT JHWJKN MLK JHWDH B CNJM <FR XDC B <FRJM W XMCH L  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CLCJM W CB< CNH L GLWT JHWJKJN MLK JHWDH B CNJM <FR XDC B <FRJM W CB<H L  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B CLCH <FR BW W B >RB<H <FR BW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B CB<TJKM,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B CB<H B  XDC,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B >XRJTW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B >XRJT MLKWTM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B >XRJT H Z<M,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B >XRJT H CNJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B >XD L  XDC H XMJCJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B >XD L  XDC H R>CWN,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B >XD L  XDC H CNJ B  CNH H CNJT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B >XD L  XDC H CNJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B >XD L  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B >WR H BQR,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B >RB<H L  XDC H TC<J B KSLW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B >RB<H <FR L  XDC H CNJ,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B >RB<H <FR JWM L  XDC B  <RB,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B >RB<H <FR BW,1,0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B >RB< <FRH CNH L  MLK XZQJHW,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B >RB< <FRH CNH L  MLK XZQJH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B >RB< <FRH CNH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B <WD LJLH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B <WD KBRT >RY,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B <WD H JWM,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B <WD CLCH XDCJM L  QYJR,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B <WD CCJM W XMC CNH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B <TM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B <TH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B <T YRTM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B <T YRTKM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B <T YRH,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
B <T RYWN,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B <T R<TK,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B <T R<H W B <T YRH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B <T R<H,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B <T QY,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B <T MLQWC,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B <T >PK,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B <T >JDM B <T <WN QY,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B <FRJM W >RB<H L  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B <FRJM W >RB<H L  TCJ<J B CNT CTJM L DRJWC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B <D JWMM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B <CTJ <FRH CNH L YDQJHW B  XDC H RBJ<J B TC<H L  XDC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  XRJC W B  QYJR,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  XMJCJ W B  CBJ<J,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  XGJM W B  XDCJM W B  CBTWT B KL MW<DJ BJT JFR>L,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  XGJM W B  MW<DJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  XG B  XDC H CBJ<J,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  XDC H ZH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B  XDC H XMJCJ B CB<H L  XDC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  XDC H XMJCJ B  <FWR L  XDC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  XDC H XMCJ,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  XDC H TCJ<J,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
B  XDC H R>CWN B XMCH <FR JWM L  XDC H R>CWN,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  XDC H CNJ B  CNJ B CNT >RB< L MLKWTW,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B  XDC H CMJNJ B XMCH <FR JWM L  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  XDC H CMJNJ B CNT CTJM L DRJWC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  XDC H CLJCJ L CNT XMC <FRH L MLKWT >S>,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  XDC H CLCJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  XDC H CBJ<J B >XD L  XDC,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  XDC H CBJ<J B  <FWR L  XDC,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  XDC H CB<J B  <FWR L  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B  XDC H <FJRJ B  <FWR L  XDC,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  XDC,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  XCK,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B  TBW>T,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B  R>CWNH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  R>CWN B >XD L  XDC,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  R>CWN B >RB<H <FR JWM L  XDC,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  QJY W B  XRP,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  P<M H CBJ<JT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  MW<DJM,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
B  LJL,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  JWM H RB<J,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  JWM H HW> W M MXRT,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  JWM H HW> B JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B  JWM H CMJNJ W HL>H,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
B  JWM H CLJCJ JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  JWM H CB<J,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  JWM H >XR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  JMJM H RBJM H HM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  JMJM H HMH W B  <T H HJ>,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  CXR,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CNT H RB<JT B  XDC H XMJCJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CNT H <FRJT L YDQJHW MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CNJM <D CNT H JBL,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CNH H XMJCT,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  CNH H TC<JT L YDQJHW MLK JHWDH B  XDC H <FRJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CNH H TC<JT B  XDC H <FJRJ B  <FWR L  XDC,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  CNH H RBJ<T L JHWJQJM BN J>CJHW MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  CNH H RBJ<T,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  CNH H RBJ<JT L  MLK XZQJHW,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
B  CNH H R>CWNH B  XDC H R>CWN,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CNH H HJ> B R>CJT MMLKT YDQJH MLK JHWDH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
