book,chapter,verse,clause.n,verb.n,lexeme,tense,domain,has.timex,position.at.cl,cl.dependency
Genesis,4,11,427919,1848,LQX[,infc,Q,2,2,D
Genesis,4,12,427920,1855,<BD[,impf,Q,2,2,I
Genesis,4,12,427921,1860,JSP[,impf,Q,2,2,I
Genesis,4,12,427922,1861,NTN[,infc,Q,2,2,D
Genesis,4,12,427923,1867,HJH[,impf,Q,2,2,I
Genesis,4,13,427924,1872,>MR[,wayq,N,2,2,I
Genesis,4,13,427925,0,ø,ø,Q,2,2,I
Genesis,4,13,427926,1879,NF>[,infc,Q,2,2,D
Genesis,4,14,427927,1881,GRC[,perf,Q,1,2,I
Genesis,4,14,427928,1893,STR[,impf,Q,2,2,I
Genesis,4,14,427929,1895,HJH[,weqt,Q,2,2,I
Genesis,4,14,427930,1903,HJH[,weqt,Q,2,2,I
Genesis,4,14,427931,1906,HRG[,impf,Q,2,2,I
Genesis,4,14,427932,1905,MY>[,ptca,Q,2,2,D
Genesis,4,15,427933,1908,>MR[,wayq,N,2,2,I
Genesis,4,15,427934,1916,NQM[,impf,Q,2,2,I
Genesis,4,15,427935,0,ø,ø,Q,2,2,D
Genesis,4,15,427936,1918,FJM[,wayq,N,2,2,I
Genesis,4,15,427937,1925,NKH[,infc,N,2,2,D
Genesis,4,16,427938,1930,JY>[,wayq,N,2,2,I
Genesis,4,16,427939,1937,JCB[,wayq,N,2,2,I
Genesis,4,17,427940,1944,JD<[,wayq,N,2,2,I
Genesis,4,17,427941,1949,HRH[,wayq,N,2,2,I
Genesis,4,17,427942,1951,JLD[,wayq,N,2,2,I
Genesis,4,17,427943,1955,HJH[,wayq,N,2,2,I
Genesis,4,17,427944,0,ø,ø,N,2,2,D
Genesis,4,17,427945,1959,QR>[,wayq,N,2,2,I
Genesis,4,18,427946,1968,JLD[,wayq,N,2,2,I
Genesis,4,18,427947,1975,JLD[,perf,N,2,2,I
Genesis,4,18,427948,1980,JLD[,perf,N,2,2,I
Genesis,4,18,427949,1985,JLD[,perf,N,2,2,I
Genesis,4,19,427950,1989,LQX[,wayq,N,2,2,I
Genesis,4,19,427951,0,ø,ø,N,2,2,I
Genesis,4,19,427952,0,ø,ø,N,2,2,I
Genesis,4,20,427953,2004,JLD[,wayq,N,2,2,I
Genesis,4,20,427954,2009,HJH[,perf,N,2,2,I
Genesis,4,21,427955,0,ø,ø,N,2,2,I
Genesis,4,21,427956,2020,HJH[,perf,N,2,2,I
Genesis,4,22,427957,2031,JLD[,perf,N,2,2,I
Genesis,4,22,427958,0,ø,ø,N,2,2,D
Genesis,4,22,427959,0,ø,ø,N,2,2,I
Genesis,4,23,427960,2045,>MR[,wayq,N,2,2,I
Genesis,4,23,427961,2052,CM<[,impv,Q,2,2,I
Genesis,4,23,427962,0,ø,ø,Q,2,2,I
Genesis,4,23,427963,2056,>ZN[,impv,Q,2,2,I
Genesis,4,23,427964,2060,HRG[,perf,Q,2,2,I
Genesis,4,23,427965,0,ø,ø,Q,2,2,I
Genesis,4,24,427966,2069,NQM[,impf,Q,2,2,I
Genesis,4,24,427967,0,ø,ø,Q,2,2,D
Genesis,4,25,427968,2077,JD<[,wayq,N,2,2,I
Genesis,4,25,427969,2083,JLD[,wayq,N,2,2,I
Genesis,4,25,427970,2086,QR>[,wayq,N,2,2,I
Genesis,4,25,427971,2091,CJT[,perf,Q,2,2,I
Genesis,4,25,427972,2099,HRG[,perf,Q,2,2,I
Genesis,4,26,427973,2106,JLD[,perf,N,2,2,I
Genesis,4,26,427974,2109,QR>[,wayq,N,2,2,I
Genesis,4,26,427975,2114,XLL[,perf,N,1,2,I
Genesis,4,26,427976,2116,QR>[,infc,N,2,2,D
Genesis,5,1,427977,0,ø,ø,?,2,2,I
Genesis,5,1,427978,2132,<FH[,perf,?,1,2,I
Genesis,5,1,427979,2126,BR>[,infc,?,2,2,D
Genesis,5,2,427980,2137,BR>[,perf,?,2,2,I
Genesis,5,2,427981,2139,BRK[,wayq,N,2,2,I
Genesis,5,2,427982,2142,QR>[,wayq,N,1,2,I
Genesis,5,2,427983,2148,BR>[,infc,N,2,2,D
Genesis,5,3,427984,2150,XJH[,wayq,N,1,2,I
Genesis,5,3,427985,2157,JLD[,wayq,N,2,2,I
Genesis,5,3,427986,2163,QR>[,wayq,N,2,2,I
Genesis,5,4,427987,2168,HJH[,wayq,N,2,2,I
Genesis,5,4,427988,2172,JLD[,infc,N,2,2,D
Genesis,5,4,427989,2179,JLD[,wayq,N,2,2,I
Genesis,5,5,427990,2184,HJH[,wayq,N,2,2,I
Genesis,5,5,427991,2189,XJH[,perf,N,2,2,D
Genesis,5,5,427992,2197,MWT[,wayq,N,2,2,I
Genesis,5,6,427993,2199,XJH[,wayq,N,1,2,I
Genesis,5,6,427994,2207,JLD[,wayq,N,2,2,I
Genesis,5,7,427995,2211,XJH[,wayq,N,1,2,I
Genesis,5,7,427996,2214,JLD[,infc,N,2,2,D
Genesis,5,7,427997,2224,JLD[,wayq,N,2,2,I
Genesis,5,8,427998,2229,HJH[,wayq,N,2,2,I
